COUNT,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Spring 2027,Professor First name,Professor Last name,JZ,TERM,DAY,TIME,ROOM,NOTE / DATE,Drop Down,DEAN NOTES,LAB FEE
0.5,,,,,,JR MAJOR,,,,CE,CE 302,,Ceramics III: Major Studio,Patrick ,Coughlin,,BFA SPRING,M TH,8:45-11:30,511,,,,
0.5,,,,,,SR MAJOR,,,,CE,CE 402,,Ceramics IV: Major Studio,Patrick,Coughlin,,BFA SPRING,M TH,8:45-11:30,511,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Graphic Design,,,,,,,,,,,,,
1,,,,,,20,,,,GD,GD 111,,Perpetual Play,Lorin,Brown,,BFA SPRING,M W,6:30-9:15,305- 316A,,,moved to spring,
1,,,,,,18,,,,GD,GD 221,,Branding and Visual Systems,Amy,Parker,,BFA SPRING,TU FR,3:00-5:45,305-316A,,,,
1,,,,,,18,,,,GD,GD 302,,Information Design,Peter,Alfano,,BFA SPRING,TU FR,8:30-11:15,316A,,,,
1,,,,,,18,,,,GD,GD 331,,Typography II,Jan,Fairbairn,,BFA SPRING,M TH,1:30-4:15,316,3/11,,Time change,
1,,,,,,18,,,,GD,GD 450,,Degree Project,Mary–Jo,Valentino,,BFA SPRING,M TH,8:45-11:30,316,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Illustration,,,,,,,,,,,,,
1,,,,,,18,,,,IL,IL 110,1,Methods and Media in Illustration,Andrew ,DeGraff,,BFA SPRING,M TH,1:30-4:15,103,,,,
1,,,,,,18,,,,IL,IL 110,2,Methods and Media in Illustration,Michael,Connor,,BFA SPRING,M TH,8:30-11:15,103,,,,
1,,,,,,18,,,,IL,IL 212,1,Illustration in Context,Sarah,Shaw,,BFA SPRING,M TH,1:30-4:15,509,,,,
1,,,,,,18,,,,IL,IL 212,2,Illustration in Context ,Mary Anne,Lloyd,,BFA SPRING,TU TH,6:30-9:15,509,day/time changed #2,,,
1,,,,,,18,,,,IL,IL 306,,Introduction to Comics,Michael,Connor,,BFA SPRING,TU FR,12:00-2:45,509,,,,
1,,,,,,JR MAJOR,,,,IL,IL 322,1,Illustration Majors Studio,Andrew ,DeGraff,,BFA SPRING,M TH,8:45-11:30,315,,,,
1,,,,,,JR MAJOR,,,,IL,IL 322,2,Illustration Majors Studio,Sarah,Shaw,,BFA SPRING,M TH,8:45-11:30,315,,,,
1,,,,,,18,,,,IL,IL 336,,Advanced Comics ,Sarah ,Shaw,,BFA SPRING,WED,9:00-2:45,509,,,Fast Track. ML: (we are working on a new title) ,
1,,,,,,18,,,,IL,IL 340,,Editorial Illustration: Concept to Print,Mary Anne,Lloyd,,BFA SPRING,TU FR,8:30-11:15,509,Fast Track name?,,,
1,,,,,,MAJORS,,,,IL,IL 351,,Introduction to the Discipline,Leticia,Plate,,BFA SPRING,TU FR,8:30-9:45,250,3/10,,,
0.5,,,,,,SR MAJOR,,,,IL,IL 423,,Illustration Majors Studio,Devin ,Harrington,,BFA SPRING,M TH,1:30-4:15,315,,,,
1,,,,,,SR MAJOR,,,,IL,IL 423,,Illustration Majors Studio,Mary Anne,Lloyd,,BFA SPRING,M TH,1:30-4:15,315,,,,
,,,,,,,,,,,Metalsmithing & Jewelry,,,,,,,,,,,,,
1,,,,,,17,,,,MJ,MJ 101,,Metalsmithing & Jewelry I,Sharon,Portelance,,BFA SPRING,TU FR,8:30-11:15,408,3/12,,day / time changed,
1,,,,,,12 - 5,,,,MJ,"MJ 250 / 
MJ 325",,Intermediate Metalsmithing I + Advanced Metalsmithing I,Kyle,Patnaude,,BFA SPRING,M TH,1:30-4:15,408,3/12,,,
0.5,,,,,,JR MAJOR,,,,MJ,MJ 302 ,,Metalsmithing & Jewelry Majors Studio,Kyle,Patnaude,,BFA SPRING,M TH,8:45-11:30,408-408B,,,,
0.5,,,,,,SR MAJOR,,,,MJ,MJ 402,,Metalsmithing & Jewelry Majors Studio,Kyle,Patnaude,,BFA SPRING,M TH,8:45-11:30,408-408B,,,,
,,,,,,,,,,,Painting,,,,,,,,,,,,,
1,,,,,,18,,,,PT,PT 221,1,Independent Projects in Painting,Andy,Rosen,,BFA SPRING,TU FR,3:00-5:45,402,,,,
1,,,,,,18,,,,PT,PT 223,,Paintings without Pictures,Honour,Mack,,BFA SPRING,M TH,1:30-4:15,401,"2/26/26
Fast Track - Name Change",Course Changed,HM,
1,,,,,,18,,,,PT,PT 225,,Water Media,Philip,Brou-P,,BFA SPRING,TU FR,8:30-11:15,402,,BLANK,,
1,,,,,,MAJORS,,,,PT,PT 351,,Introduction to the Discipline,Patricia,Brace,,BFA SPRING,M TH,4:30-5:45,105,3/10,,,
1,,,,,,JR MAJOR,,,,PT,PT 322,,Painting Majors Studio,Philip,Brou-P,,BFA SPRING,M TH,8:45-11:30,401,,,,
1,,,,,,SR MAJOR,,,,PT,PT 422,,Painting Majors Studio. (3-6 cr option w/Chair permission) ,Honour,Mack,,BFA SPRING,M TH,8:45-11:30,401,,,,
,,,,,,,,,,,Photography,,,,,,,,,,,,,
1,,,,,,18,,,,PH,PH 222,,Color Photography,Scott,Peterman,,BFA SPRING,TU TH,6:30-9:15,013-025,,,,
1,,,,,,17,,,,PH,PH 232,,Large Format Photography,Justin,Kirchoff,,BFA SPRING,TU FR,8:30-11:15,013-025-412,3/12,,,
1,,,,,,16,,,,PH,PH 314,,Experimental Photography,Dylan,Hausthor,,BFA SPRING,WED,12:00-5:30,013-025-412,3/12,,02/11 JK moved from Fall to Spring,
0.5,,,,,,mixed,,,,PH,PH 322-422,,Photography Majors Studio,Justin,Kirchoff,,BFA SPRING,M,8:45-11:30,013-025-412,3/12,,,
0.5,,,,,,JR MAJOR,,,,PH,PH 322,,Photography Majors Studio,Tabitha,Barnard,,BFA SPRING,M W,8:45-11:30,013-025-412,3/12,,,
0.5,,,,,,SR MAJOR,,,,PH,PH 422,,Photography Majors Studio,Tabitha,Barnard,,BFA SPRING,M W,8:45-11:30,013-025-412,3/12,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Printmaking,,,,,,,,,,,,,
1,,,,,,17,,,,PR,PR 101,,Printmaking 1: Relief,Bennett,Morris,,BFA SPRING,TU FR,12:00-2:45,406,,,,
1,,,,,,16,,,,PR,PR 240,,The Book as Visual Object,Martha,Kerley,,BFA SPRING,M TH,1:30-4:15,406,,,,
0.5,,,,,,JR MAJOR,,,,PR,PR 302,,Printmaking Majors Studio,Bennett,Morris,,BFA SPRING,M TH,8:45-11:30,406,,,,
0.5,,,,,,SR MAJOR,,,,PR,PR 402,,Printmaking Majors Studio,Bennett,Morris,,BFA SPRING,M TH,8:45-11:30,406,,,,
,,,,,,,,,,,Sculpture,,,,,,,,,,,,,
1,,,,,,12,,,,SC,SC 105,,"The Sculptural Imagination: Wood, Steel and Foundry Practices",Joshua,Reiman,,BFA SPRING,TU FR,12:00-2:45,505-508,,,,
1,,,,,,12,,,,SC,SC 229,,"Club as Context: Collage, Sound, and Space",Ben,Spalding,,BFA SPRING,TU FR,3:00-5:45,508,Fast Track - only running next year,,,
1,,,,,,JR MAJOR,,,,SC,SC 322,,Sculpture: Junior Major Studio,Patricia,Brace,,BFA SPRING,M TH,8:45-11:30,508,,,,
1,,,,,,SR MAJOR,,,,SC,SC 422,,Sculpture: Senior Major Studio. (3-6 cr option),Joshua,Reiman,,BFA SPRING,M TH,8:45-11:30,508,,,,
,,,,,,,,,,,Textile & Fashion Design,,,,,,,,,,,,,
1,,,,,,15,,,,TF,TF 203,,(S) Surface Design,Mali,Mrozinski,,BFA SPRING,M TH,1:30-4:15,302-303,3/6,,,
1,,,,,,12,,,,TF,TF 215,,Weaving,Betsy,Scheintaub,,BFA SPRING,TU FR,8:30-11:15,301-302-303,3/6,,,
1,,,,,,12,,,,TF,TF 221,,Draping & Construction,Jill,McGowan,,BFA SPRING,WED,12:00-5:30,301-302-303,,,"AK: Course Number Change, Formerly TF 321
Fast Track course code change",
0.5,,,,,,JR MAJOR,,,,TF,TF 325,,Collection Development,Mali,Mrozinski,,BFA SPRING,M TH,8:45-11:30,301-302-303,,,Betsy and Mali will be teaching these 9 credits collaboratively but each instructor is assigned to only one class as the instructor of record,
1,,,,,,SR MAJOR,,,,TF,TF 422,,Majors Thesis Studio (6 cr.),Betsy,Scheintaub,,BFA SPRING,M TH 8:45-11:30,WED 12:00-5:30,MIXED,see above,,,
,,,,,,,,,,,Woodworking & Furniture Design,,,,,,,,,,,,,
1,,,,,,12,,,,WF,WF 101,,Introduction to Woodworking,John,Gardiner,,BFA SPRING,M TH,1:30-4:15,318-319,Day time change,,02/12 MH Moved to spring from fall term,
1,,,,,,12,,,,WF,WF 125,,Models & Mockups,John,Gardiner,,BFA SPRING,TU FR,12:00-2:45,318-319,,,,
0.5,,,,,,JR MAJOR,,,,WF,WF 322,,Wood & Furniture Major Studio,John,Gardiner,,BFA SPRING,M TH,8:45-11:30,318-319,,,,
0.5,,,,,,SR MAJOR,,,,WF,WF 422,,Wood & Furniture Major Studio,John,Gardiner,,BFA SPRING,M TH,8:45-11:30,318-319,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Seminars,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Minor Capstone,,,,,,,,,,,,,
X,,,,,,IS,,,,PE,PE 400,,(PE) Public Engagement Minor Capstone,TBA,TBA,,BFA SPRING,-,-,-,,Independent Study,,
X,,,,,,IS,,,,ST,ST 400,,(AE) Art & Entrepreneurship Minor Capstone,TBA,TBA,,BFA SPRING,-,-,-,,Independent Study,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"SEMINARS: Suggestions Welcome, Assigned by Dean's Office",,,,,,,,,,,,,
1,,,,,,20,,,,SEM,SEM 351,GD,Interaction Design,Peter,Alfano,,BFA SPRING,TU FRI,12:00-2:45,316A,,,,
,,,,,,,,,,,SEMINAR: Synthesis,,,,,,,,,,,,,
1,,,,,,18,,,,SEM,SEM 452,1,Senior Synthesis,Adriane,Herman,,BFA SPRING,M TH,1:30-2:45,7,,,,
1,,,,,,18,,,,SEM,SEM 452,2,Senior Synthesis,Joshua,Reiman,,BFA SPRING,M TH,1:30-2:45,250,PC:  (but I am overbooked),,,
X,,,,,,36,,,,,AG + GD + IL students can only take this course with permission of the chair. Not required as of AY 17-18 for these departments,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
119.16,125.66,,,,,,,,,,244.82,,,,,,,,,,,,,
Spring,Fall,,,,,,,,,,total,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,AG,AG 201,1,Character Animation ,Adam,Fisher,,BFA SPRING,AG 120/ AG 120-ADV,,,,Course is cut,,
0,,,,,,,,,,AG,AG 329,,Special Topics: Shaders & VFX ,Adam,deGrandis,,BFA SPRING,,,,,Course is cut,,
0,,,,,,0,,,,AS,AH 102,5,Art History Survey II,,,,BFA SPRING,,,,revised schedule,Course is cut,,
0,,,,,,0,,,,AS,AH 250,5,Critical Approaches to Contemporary Art- pending enrollment,,,,BFA SPRING,,,,,Course is cut,,
0,,,,,,0,,,,AS,AH 391,,"(S) Indigeneity, Objects, and Exhibitionism",Rose,Logie,,BFA SPRING,,,,Moved to Fall,Course is cut,,
0,,,,,,0,,,,CE,CE,,TBD or nothing ,,,,BFA SPRING,,,,,Course is cut,,
0,,,,,,0,,,,FN,DR 100,5,Introduction to Drawing, , ,,BFA SPRING,,,,,Course is cut,,
0,,,,,,0,,,,FN,DR 110,H2,Honors: Introduction to Drawing, , ,,BFA SPRING,,,, ,Course is cut,,
0,,,,,,0,,,,AS,EN 100,6,English Composition,John,Portlock,,BFA SPRING,,,,revised schedule,Course is cut,,
0,,,,,,0,,,,FN,FN 110,0,4D: Space & Temporality, , ,,BFA SPRING,,,,,Course is cut,,
0,,,,,,0,,,,AS,NS 305,,(S) Botany,Elizabeth,Webb,,BFA SPRING,,,,,Course is cut,,
0,0,0,0,0,0,0,,,,PH,PH 101,1,Introduction to Photography,Justin,Kirchoff,,BFA SPRING,,,,,Course is cut,,
0,0,0,0,0,0,0,,,,PH,PH 310,,Alternative Processes,Justin,KIrchoff,,BFA SPRING,W,12-5:30,,,Course is cut,"02/11 JK cancelled, to bring PH 314 to spring term",
0,,,,,,0,,,,PT,PT 223,,Forms and Transformation,Honour,Mack,,BFA SPRING,,,,,,,
0,,,,,,12,,,,WF,WF 235,,CURViture,John,Gardiner,,BFA SPRING,,,,,Course is cut,02/12 MH Moved to fall ,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Research & Inquiry (THEMED) ,,revised schedule,,,,,[studio best in classroom 502],,,"holding pattern, repeat themes and teams where possible",,,
,,,,,,,,,,FN,FN 108,1,(S) Research & Inquiry-Voyages (Studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,1,(S) Research & Inquiry-Voyages (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,2,Research & Inquiry-The Language Wars (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,2,Research & Inquiry-The Language Wars  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,3,(PE) R&I-Enclaves and Activism: Communities of Resistance and Resilience-US. (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,3,(PE)Research & Inquiry- Enclaves and Activism: Communities of Resistance and Resilience-US.(Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,4,(S) Research & Inquiry-Voyages (sudio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,4,(S) Research & Inquiry-Voyages  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,5,Research & Inquiry-Dystopian Landscapes (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,5,Research & Inquiry-Dystopian Landscapes  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,6,Research & Inquiry-Dystopian Landscapes (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,6,Research & Inquiry-Dystopian Landscapes  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,7,(M) Research & Inquiry-Music (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,7,(M) Research & Inquiry- Music (Academic), , ,,BFA SPRING,,,,revised schedule,,,
x,,,,,,0,,,,0,,,,,,,,,,,,,,